date,facility_id,facility,hours_staffed,daily_cr_labor_hours_allocation,week,month,labor_cost
2023-08-25,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),24.3,0.0,2023-08-21,2023-08-01,437.40000000000003
2023-09-05,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-05,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),11.916667,0.0,2023-07-31,2023-08-01,214.500006
2023-08-15,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),13.233334,0.0,2023-08-14,2023-08-01,238.200012
2023-08-31,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),19.616666,0.0,2023-08-28,2023-08-01,353.099988
2023-08-27,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),16.266666,0.0,2023-08-21,2023-08-01,292.799988
2023-08-20,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),9.783333,0.0,2023-08-14,2023-08-01,176.099994
2023-09-07,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-11,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.433333,0.0,2023-08-07,2023-08-01,385.799994
2023-08-23,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),25.75,0.0,2023-08-21,2023-08-01,463.5
2023-08-28,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),19.533333,0.0,2023-08-28,2023-08-01,351.599994
2023-08-03,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.016667,0.0,2023-07-31,2023-08-01,378.30000600000005
2023-08-19,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),12.383334,0.0,2023-08-14,2023-08-01,222.900012
2023-08-10,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),19.816666,0.0,2023-08-07,2023-08-01,356.699988
2023-08-14,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),15.566666,0.0,2023-08-14,2023-08-01,280.199988
2023-09-04,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),2.166667,0.0,2023-09-04,2023-09-01,39.000006
2023-09-02,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),6.2,0.0,2023-08-28,2023-09-01,111.60000000000001
2023-09-06,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-08,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),9.7,0.0,2023-08-07,2023-08-01,174.6
2023-08-12,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),13.683334,0.0,2023-08-07,2023-08-01,246.300012
2023-08-07,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),9.866666,0.0,2023-08-07,2023-08-01,177.599988
2023-09-03,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),10.766666,0.0,2023-08-28,2023-09-01,193.799988
2023-08-29,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),18.816667,0.0,2023-08-28,2023-08-01,338.700006
2023-08-18,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.483334,0.0,2023-08-14,2023-08-01,386.700012
2023-08-09,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),22.633333,0.0,2023-08-07,2023-08-01,407.399994
2023-08-26,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),21.566667,0.0,2023-08-21,2023-08-01,388.200006
2023-08-06,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),11.2,0.0,2023-07-31,2023-08-01,201.6
2023-08-22,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),27.2,0.0,2023-08-21,2023-08-01,489.59999999999997
2023-08-09,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),18.466667,0.0,2023-08-07,2023-08-01,332.400006
2023-08-20,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),11.6,0.0,2023-08-14,2023-08-01,208.79999999999998
2023-08-17,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),17.166667,0.0,2023-08-14,2023-08-01,309.000006
2023-08-10,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),18.416666,0.0,2023-08-07,2023-08-01,331.499988
2023-09-03,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),23.433333,0.0,2023-08-28,2023-09-01,421.799994
2023-08-15,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),25.033333,0.0,2023-08-14,2023-08-01,450.599994
2023-08-19,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),16.45,0.0,2023-08-14,2023-08-01,296.09999999999997
2023-08-21,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),27.966667,0.0,2023-08-21,2023-08-01,503.400006
2023-08-01,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),29.483333,0.0,2023-07-31,2023-08-01,530.699994
2023-08-07,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),17.466667,0.0,2023-08-07,2023-08-01,314.400006
2023-09-04,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-28,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),27.9,0.0,2023-08-28,2023-08-01,502.2
2023-08-16,905cbe43-327f-4d3e-a897-48ee81a64ade,NA-US-CA(N)-NH-Ruff (Kitchens),12.716667,0.0,2023-08-14,2023-08-01,228.900006
